class,accuracy
forest,0.5000
boy,0.5200
otter,0.5300
girl,0.6200
oak_tree,0.6200
bowl,0.6300
man,0.6500
willow_tree,0.6500
dolphin,0.6600
maple_tree,0.6600
mouse,0.6700
pine_tree,0.6700
seal,0.6700
squirrel,0.6700
crocodile,0.7000
porcupine,0.7200
woman,0.7200
flatfish,0.7300
bear,0.7500
beaver,0.7500
caterpillar,0.7500
lobster,0.7500
possum,0.7500
sea,0.7500
tulip,0.7500
kangaroo,0.7600
poppy,0.7600
baby,0.7700
lizard,0.7700
shark,0.7700
rose,0.7800
shrew,0.7800
turtle,0.7800
couch,0.7900
lamp,0.7900
rabbit,0.7900
snail,0.7900
streetcar,0.7900
table,0.7900
cloud,0.8000
dinosaur,0.8100
hamster,0.8100
ray,0.8100
snake,0.8100
bed,0.8200
leopard,0.8200
plate,0.8200
beetle,0.8300
house,0.8300
pear,0.8300
sweet_pepper,0.8300
butterfly,0.8400
crab,0.8500
lion,0.8500
worm,0.8500
bee,0.8600
bridge,0.8600
elephant,0.8600
mushroom,0.8600
orchid,0.8600
plain,0.8600
raccoon,0.8600
tiger,0.8600
whale,0.8600
telephone,0.8700
cockroach,0.8800
cup,0.8800
mountain,0.8800
rocket,0.8800
spider,0.8800
wolf,0.8800
bus,0.8900
cattle,0.8900
fox,0.8900
aquarium_fish,0.9000
camel,0.9000
can,0.9000
television,0.9000
tractor,0.9000
castle,0.9100
keyboard,0.9100
tank,0.9100
bicycle,0.9200
bottle,0.9200
palm_tree,0.9200
train,0.9200
trout,0.9200
chair,0.9300
chimpanzee,0.9300
clock,0.9300
orange,0.9300
wardrobe,0.9300
lawn_mower,0.9400
pickup_truck,0.9400
skunk,0.9400
sunflower,0.9400
motorcycle,0.9500
skyscraper,0.9500
apple,0.9700
road,0.9700
